"scheduled_time","node_seq","sector_type","sector_code","sector_name","candidate_rank","candidate_score_v1","candidate_hit_count","candidate_reason_mask","hit_price_strength","hit_breadth","hit_capital_share","hit_capital_acceleration","hit_limit_strength","hit_new_high","hit_persistence","index_change_ratio_pct","index_change_1m_pct","up_ratio","up_ratio_delta_15m","turnover_market_share_pct","turnover_1m_market_share_pct","turnover_market_share_delta_15m","turnover_1m_market_share_delta_15m","turnover_share_rank","turnover_share_rank_delta","limit_up_count","limit_break_count","new_high_ratio","turnover_1m_top1_share_pct","turnover_1m_top3_share_pct","turnover_1m_top5_share_pct","candidate_hit_count_3","candidate_hit_count_5","state_data_status","state_source_scheduled_time","state_source_age_seconds"
"2026-08-28 10:00:15.000",42,"concept","886033.TI","共封装光学(CPO)",1,92.8303,6,95,1,1,1,1,1,0,1,1.917439,-0.12218398018254417,0.8380952380952381,0.10952380952380958,22.225140128620218,23.988882881918798,1.0128679351729772,4.027082201700562,12,0,4,1,0.04285714285714286,8.815921142274512,20.00407585102664,28.89020467496173,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","886009.TI","先进封装",2,90.5398,6,95,1,1,1,1,1,0,1,1.631342,-0.08786942383027796,0.8252427184466019,0.15533980582524265,12.382648848347756,14.074488820265744,0.40677471879868676,2.88404840875835,30,3,1,0,0.06796116504854369,10.295353599936147,17.39541378191662,23.84345751266062,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","885959.TI","PCB概念",3,90.3522,6,95,1,1,1,1,1,0,1,1.855277,-0.09643410597733881,0.8067226890756303,0.0798319327731093,13.95449163809548,15.745643356889834,0.40577101555671113,0.3448067128804606,26,1,4,1,0.09663865546218488,9.202662340219916,24.370809207066436,32.59620852568604,2,2,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","885800.TI","消费电子概念",4,90.0129,6,95,1,1,1,1,1,0,1,1.448451,-0.06508050358456918,0.7845849802371542,0.09090909090909094,16.266945954785935,17.109499275730972,0.3106128328405031,1.3136212563611451,19,2,7,1,0.04743083003952569,6.741444343952274,13.600013884726717,18.94430944595692,2,2,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","885556.TI","5G",5,88.91,6,95,1,1,1,1,1,0,1,1.329271,-0.08021316161981318,0.76431718061674,0.05947136563876643,26.26754934353528,28.00423797025882,0.7303763504635725,3.808690238054222,8,1,6,1,0.04185022026431718,7.5518605434954615,17.135814702793823,24.74781628117676,2,2,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","885454.TI","智能穿戴",6,81.7147,5,91,1,1,0,1,1,0,1,1.355258,-0.0845905508696898,0.7708333333333334,0.10000000000000009,9.23335279237628,10.511152319431682,0.14019366043016568,1.6060913090904592,43,2,5,0,0.029166666666666667,10.973367487692201,20.480385806679045,28.758295226939968,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","885756.TI","芯片概念",7,81.5347,5,94,0,1,1,1,1,0,1,1.263156,-0.08797964850386641,0.764642082429501,0.08242950108459868,42.16506876236908,44.37663164180678,0.7820202539795318,1.620661371168552,3,0,8,1,0.0455531453362256,4.765663637683983,10.81369664612427,15.617312777957897,2,2,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","885545.TI","汽车电子",8,81.4602,5,94,0,1,1,1,1,0,1,1.246248,-0.06609871000389234,0.7633587786259542,0.07124681933842247,17.83284940085597,20.46754243458565,0.6866930010771739,3.644456227439388,17,1,3,1,0.05089058524173028,10.332657203675485,23.445679142231274,30.038522690144653,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","886042.TI","存储芯片",9,80.9614,5,79,1,1,1,1,0,0,1,1.404766,-0.094954044677098,0.7931034482758621,0.1280788177339902,14.814591644188505,16.12722949158459,0.4830739221716627,2.25377307203488,23,2,0,0,0.054187192118226604,8.984918284854555,16.936360454991853,23.132695523370632,2,2,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"concept","885887.TI","数据中心(AIDC)",10,79.8175,5,94,0,1,1,1,1,0,1,1.046957,-0.07159153489103565,0.7125382262996942,0.03822629969418967,29.786528436953404,29.246008021986718,0.10591909351987638,0.29507747799101836,5,0,9,0,0.03058103975535168,7.2312125340068425,15.397531532850742,21.763115099379128,3,3,"CURRENT","2026-08-28 10:00:15.000",0
