trade_date,target_time,node_seq,sector_type,direction,position,sector_code,sector_name,turnover_market_share_pct,turnover_1m_market_share_pct,turnover_market_share_delta_15m,turnover_1m_market_share_delta_15m,turnover_increment_15m,turnover_increment_market_share_pct,turnover_share_rank,turnover_share_rank_delta,up_ratio_delta_15m,new_high_ratio_delta_15m,turnover_1m_top1_share_pct,turnover_1m_top3_share_pct,turnover_1m_top5_share_pct
2026-08-28,10:00:15,42,industry,UP,7,881145.TI,电力,1.026692,1.111561,0.101026,0.102938,2921536387.00,1.243493,49,6,-0.027273,0.009091,8.263216,21.318834,31.396703
2026-08-28,10:00:15,42,industry,UP,8,881168.TI,工业金属,1.981428,1.529292,0.089600,0.047919,5107039054.00,2.173708,20,2,-0.145455,-0.018182,9.420002,25.290944,36.256101
2026-08-28,10:00:15,42,industry,UP,9,884054.TI,铜,1.114250,0.844282,0.088919,0.101708,3066208589.00,1.305070,41,6,0.000000,0.000000,17.062940,45.810803,63.914178
2026-08-28,10:00:15,42,industry,UP,10,884229.TI,半导体设备,1.447878,1.459185,0.080436,-0.117453,3807282463.00,1.620493,30,2,0.038462,-0.076923,11.091959,31.810587,47.658432
2026-08-28,10:00:15,42,industry,DOWN,1,881272.TI,软件开发,3.060208,2.091474,-0.387263,-1.300233,5237279661.00,2.229142,7,0,-0.072464,-0.094203,7.179703,17.643271,25.808835
2026-08-28,10:00:15,42,industry,DOWN,2,884296.TI,横向通用软件,1.561974,0.834902,-0.299936,-0.907868,2157536489.00,0.918312,26,-3,-0.024390,-0.073171,17.985542,37.542780,51.117901
2026-08-28,10:00:15,42,industry,DOWN,3,884263.TI,通信线缆及配套,2.868538,3.500045,-0.212296,1.493406,5669131928.00,2.412952,9,-1,0.250000,0.166667,35.282264,80.764199,92.917706
2026-08-28,10:00:15,42,industry,DOWN,4,884036.TI,氟化工,0.811539,0.395386,-0.134576,-3.204720,1228153904.00,0.522739,60,-7,0.000000,0.100000,53.491565,76.716244,93.216161
2026-08-28,10:00:15,42,industry,DOWN,5,881164.TI,文化传媒,1.113949,0.828470,-0.133461,-0.428877,1944276371.00,0.827542,42,-5,-0.142857,-0.047619,25.310881,40.572279,48.329973
2026-08-28,10:00:15,42,industry,DOWN,6,884178.TI,广告营销,0.778262,0.489889,-0.111376,-0.433961,1266945412.00,0.539250,62,-3,-0.142857,-0.071429,42.804212,62.544414,71.209614
2026-08-28,10:00:15,42,industry,DOWN,7,881170.TI,小金属,1.724368,1.482546,-0.106181,-0.075331,3515974102.00,1.496503,25,-1,0.068966,0.034483,28.202939,50.185735,60.273955
2026-08-28,10:00:15,42,industry,DOWN,8,881126.TI,汽车零部件,2.180249,2.593929,-0.100662,0.380135,4614873900.00,1.964228,16,0,-0.010989,-0.073260,12.894623,27.060445,35.591428
2026-08-28,10:00:15,42,industry,DOWN,9,884264.TI,通信终端及配件,0.852337,0.852418,-0.091618,0.020189,1540599735.00,0.655725,56,-2,0.076923,0.000000,41.169791,60.471649,72.200642
2026-08-28,10:00:15,42,industry,DOWN,10,884295.TI,垂直应用软件,1.498234,1.256572,-0.087327,-0.392364,3079743172.00,1.310831,28,-1,-0.092784,-0.103093,9.643009,23.545211,33.498600
2026-08-28,10:00:15,42,style,UP,1,883417.TI,大盘股,27.615719,30.256353,1.411432,3.706993,71998347325.00,30.644645,6,1,0.020000,-0.025000,6.989742,15.860320,22.905726
2026-08-28,10:00:15,42,style,UP,2,883917.TI,行业龙头,15.061400,16.208435,1.144611,1.003089,41157194634.00,17.517730,17,1,-0.111524,-0.085502,13.047780,26.199470,35.154616
2026-08-28,10:00:15,42,style,UP,3,883441.TI,高ROE股,18.125906,19.294014,1.113414,1.143060,48199834097.00,20.515287,15,1,-0.040201,-0.080402,10.961125,24.449484,34.098482
2026-08-28,10:00:15,42,style,UP,4,883443.TI,同花顺算力主题精选,19.776764,20.720905,1.081843,1.600365,51919278183.00,22.098394,13,0,0.060000,-0.130000,10.206316,22.765833,31.750378
2026-08-28,10:00:15,42,style,UP,5,883902.TI,昨日成交前十,7.276769,8.562061,0.931960,3.186851,21795348500.00,9.276751,37,3,0.200000,0.000000,24.700140,56.046722,75.746655
2026-08-28,10:00:15,42,style,UP,6,883916.TI,百元股,25.481211,26.150716,0.891526,1.939661,64362082246.00,27.394422,8,0,0.099099,-0.058559,8.087125,18.038844,25.157880
2026-08-28,10:00:15,42,style,UP,7,883990.TI,机构重仓股,17.921240,20.075697,0.854304,-1.096099,46412566174.00,19.754573,16,-1,-0.066667,-0.060000,10.534334,23.903301,31.758673
2026-08-28,10:00:15,42,style,UP,8,883912.TI,深股通成交前十,5.474806,6.172081,0.845379,1.182892,17125173880.00,7.288985,44,5,0.000000,0.000000,34.264637,68.802148,81.618529
2026-08-28,10:00:15,42,style,UP,9,883406.TI,基金重仓股,9.556556,11.598236,0.800729,3.147313,26489959025.00,11.274917,27,6,0.070000,-0.060000,18.234161,38.826279,53.795344
2026-08-28,10:00:15,42,style,UP,10,883922.TI,社保重仓,12.055182,12.392957,0.530966,-0.060989,31000253262.00,13.194633,21,4,-0.090487,-0.078886,11.692273,19.486484,25.050614
