"scheduled_time","node_seq","thscode","ticker","stock_name","candidate_rank","candidate_score_v1","candidate_hit_count","candidate_reason_mask","hit_price_strength","hit_turnover_absolute","hit_turnover_acceleration","hit_new_high","hit_limit_strength","hit_core_sector","hit_sector_leader","hit_persistence","price_change_ratio_pct","price_change_1m_pct","price_change_rank_market","price_change_1m_rank_market","turnover","turnover_delta_1m","turnover_growth_1m","turnover_rank_market","turnover_delta_1m_rank_market","turnover_top_pct_market","turnover_delta_1m_top_pct_market","new_high_flag","is_limit_up","is_limit_break","continue_day_cnt","seal_money","core_sector_count","best_core_sector_type","best_core_sector_name","best_core_sector_candidate_rank","best_sector_turnover_rank","best_sector_turnover_1m_rank","best_sector_price_rank","best_sector_turnover_share_pct","candidate_hit_count_3","candidate_hit_count_5","state_data_status","state_source_scheduled_time","state_source_age_seconds"
"2026-08-28 10:00:15.000",42,"002636.SZ","002636","金安国纪",14,75,6,243,1,1,0,0,1,1,1,1,9.998559,0,38,2134,3346872200,3229600,-0.6475005457323728,19,801,0.0034160373966199207,0.14401294498381878,0,1,0,2,791481820,6,"industry","元件",1,5,36,3,5.838441612772478,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"600378.SH","600378","昊华科技",15,75,6,243,1,1,0,0,1,1,1,1,10.008254,0,31,2621,2811522100,1188800,-0.6080836053143441,27,1713,0.0048543689320388345,0.307982740021575,0,1,0,2,541808190,2,"concept","PCB概念",3,9,151,5,2.7258471350758433,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"300319.SZ","300319","麦捷科技",16,75,6,231,1,1,1,0,0,1,1,1,14.481306,0.6947660954145451,7,33,2259005100,44115000,0.9028291184830852,38,31,0.0068320747932398415,0.005573534699748292,0,0,0,\N,\N,13,"concept","共封装光学(CPO)",1,18,19,1,1.3751393785182409,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"002396.SZ","002396","星网锐捷",17,75,6,243,1,1,0,0,1,1,1,1,10.014993,0,27,2053,2138942800,2526700,-0.56687865334179,45,991,0.008090614886731391,0.17817331895001798,0,1,0,2,729474870,11,"concept","共封装光学(CPO)",1,22,130,4,1.3020530465726112,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"688256.SH","688256","寒武纪",18,70,5,167,1,1,1,0,0,1,0,1,3.711832,0.20282105651332483,295,492,5110750800,25835800,-0.3801971504585704,6,73,0.0010787486515641855,0.01312477526069759,0,0,0,\N,\N,9,"style","科技(TMT)",1,6,51,129,1.4070824877572479,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"000636.SZ","000636","风华高科",19,70,5,167,1,1,1,0,0,1,0,1,5.433376,-0.052557813594955594,160,3443,4482544900,40883600,-0.5749712548679595,8,39,0.001438331535418914,0.007011866235167206,0,0,0,\N,\N,11,"concept","共封装光学(CPO)",1,6,22,16,2.7286897262720258,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:00:15.000",42,"601138.SH","601138","工业富联",20,70,5,167,1,1,1,0,0,1,0,1,3.836517,-0.12050007531254625,272,4182,4389770600,87982300,0.6283007484287437,9,9,0.0016181229773462784,0.0016181229773462784,0,0,0,\N,\N,11,"concept","共封装光学(CPO)",1,7,8,37,2.6722146022253983,3,3,"CURRENT","2026-08-28 10:00:15.000",0
"2026-08-28 10:30:15.000",72,"603618.SH","603618","杭电股份",1,90,7,247,1,1,1,0,1,1,1,1,5.269154,0.43478260869567187,174,106,4639107100,26278700,2.2678447075208914,19,37,0.0034160373966199207,0.0066522833513124775,0,0,1,\N,\N,7,"style","昨日连板",4,1,1,10,30.258027667280874,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"002636.SZ","002636","金安国纪",2,90,7,247,1,1,1,0,1,1,1,1,8.384959,-0.0664187035068986,88,4270,4468635800,14264900,0.10073768847323183,20,106,0.003595828838547285,0.019057892844300612,0,0,1,\N,\N,2,"style","深市新主板",2,5,34,29,1.60135213145937,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
"2026-08-28 10:30:15.000",72,"001232.SZ","001232","嘉立创",3,80,6,175,1,1,1,1,0,1,0,1,8.751466,0.1363868841279814,83,1027,1434007200,19029600,0.3536395387712421,126,70,0.022653721682847898,0.012585400934915498,1,0,0,\N,\N,3,"style","深市新主板",2,32,19,28,0.5138817726537668,3,5,"FALLBACK","2026-08-28 10:29:15.000",60
