"strategic_theme","strategic_subtheme","watch_level","sector_type","sector_code","sector_name","scheduled_time","state_data_status","state_source_scheduled_time","state_source_age_seconds","index_change_ratio_pct","current_class_rank","current_candidate_rank","turnover_market_share_pct","turnover_1m_market_share_pct","turnover_market_share_delta_15m","turnover_1m_market_share_delta_15m","up_ratio","new_high_ratio","limit_up_count","limit_break_count","turnover_1m_top1_share_pct","turnover_1m_top3_share_pct","turnover_1m_top5_share_pct","turnover_rank_last_5"
"AI基础设施","光通信","IMPORTANT","concept","886084.TI","光纤概念","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-1.059059,40,\N,9.54670130819904,9.230167100828284,-0.04720394994856214,0.2850041464941935,0.30357142857142855,0,0,2,8.495683872673265,20.858870251492466,31.656564948647464,"[('2026-08-28 14:00:15.000',40),('2026-08-28 14:15:15.000',40),('2026-08-28 14:30:15.000',40),('2026-08-28 14:45:15.000',40),('2026-08-28 15:00:00.000',40)]"
"AI基础设施","通信网络设备","IMPORTANT","industry","884262.TI","通信网络设备及器件","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.399982,6,\N,4.896340420648505,3.7931174288285385,-0.006623008217468751,-5.401854147799555,0.275,0,1,2,20.599772438464484,49.34204157418887,64.81829121035501,"[('2026-08-28 14:00:15.000',6),('2026-08-28 14:15:15.000',6),('2026-08-28 14:30:15.000',6),('2026-08-28 14:45:15.000',6),('2026-08-28 15:00:00.000',6)]"
"AI终端","智能眼镜","CORE","concept","886085.TI","AI眼镜","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.801043,63,\N,6.8975730548171175,6.064929991537802,-0.022526144952973226,-0.4457698671645671,0.3160621761658031,0,0,0,6.079601214285528,17.37231636010104,25.857761549586776,"[('2026-08-28 14:00:15.000',64),('2026-08-28 14:15:15.000',63),('2026-08-28 14:30:15.000',63),('2026-08-28 14:45:15.000',63),('2026-08-28 15:00:00.000',63)]"
"AI终端","AI PC","CORE","concept","886071.TI","AIPC","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-1.054777,105,\N,4.344178392960082,3.8884149383869047,-0.02447573592644403,-0.2908417287798746,0.3283582089552239,0,0,1,11.884013679098814,32.35154913297459,46.22331435924292,"[('2026-08-28 14:00:15.000',105),('2026-08-28 14:15:15.000',104),('2026-08-28 14:30:15.000',105),('2026-08-28 14:45:15.000',104),('2026-08-28 15:00:00.000',105)]"
"AI终端","AI手机","CORE","concept","886070.TI","AI手机","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.655229,138,\N,3.0625645118752485,2.848833450204551,-0.009559304267141133,-0.3481562897134669,0.35,0,0,1,20.722736814274057,48.20737404023697,60.01082559283574,"[('2026-08-28 14:00:15.000',139),('2026-08-28 14:15:15.000',138),('2026-08-28 14:30:15.000',138),('2026-08-28 14:45:15.000',138),('2026-08-28 15:00:00.000',138)]"
"AI终端","消费电子","IMPORTANT","concept","885800.TI","消费电子概念","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.508228,19,\N,15.795447997976646,16.10231308590136,-0.02246775553893876,0.9711431690712349,0.33794466403162055,0,5,6,13.199671057219152,19.674843342569602,24.29562613001155,"[('2026-08-28 14:00:15.000',19),('2026-08-28 14:15:15.000',19),('2026-08-28 14:30:15.000',19),('2026-08-28 14:45:15.000',19),('2026-08-28 15:00:00.000',19)]"
"AI终端","可穿戴","IMPORTANT","concept","885454.TI","智能穿戴","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.623511,46,\N,8.630279308783642,8.160847440766204,-0.010102900104259405,0.3517808159131235,0.3125,0,3,2,7.234006792160608,16.84743051702753,25.239883294862985,"[('2026-08-28 14:00:15.000',43),('2026-08-28 14:15:15.000',45),('2026-08-28 14:30:15.000',46),('2026-08-28 14:45:15.000',46),('2026-08-28 15:00:00.000',46)]"
"AI终端","虚拟现实","IMPORTANT","concept","885709.TI","虚拟现实","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.270671,58,\N,7.368025231111291,7.638227755661461,-0.028646165534198076,1.145158811524177,0.4548611111111111,0,4,1,20.561308107264917,30.812266366270087,37.028202116188424,"[('2026-08-28 14:00:15.000',58),('2026-08-28 14:15:15.000',58),('2026-08-28 14:30:15.000',58),('2026-08-28 14:45:15.000',58),('2026-08-28 15:00:00.000',58)]"
"AI终端","MR","IMPORTANT","concept","886046.TI","MR(混合现实)","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.567054,182,\N,1.982005626793761,1.67175859729055,-0.010216737659988206,-0.04066100030549191,0.43661971830985913,0,1,0,11.021836745209418,29.715395363433693,45.63198743311096,"[('2026-08-28 14:00:15.000',180),('2026-08-28 14:15:15.000',180),('2026-08-28 14:30:15.000',180),('2026-08-28 14:45:15.000',182),('2026-08-28 15:00:00.000',182)]"
"AI能源基础设施","储能","IMPORTANT","concept","885921.TI","储能","2026-08-28 15:00:00.000","CURRENT","2026-08-28 15:00:00.000",0,-0.13166,13,\N,18.926101838784167,16.665732802608662,-0.0018446057677756755,-0.9900253527229559,0.44493882091212456,0,10,3,2.812000769164376,8.298684313680605,13.31624203611293,"[('2026-08-28 14:00:15.000',14),('2026-08-28 14:15:15.000',13),('2026-08-28 14:30:15.000',13),('2026-08-28 14:45:15.000',13),('2026-08-28 15:00:00.000',13)]"
